City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,93,ZA,1584987834,77,-34.53,20.04,64.99,2.24
1,Yermakovskoye,100,RU,1584987834,84,53.28,92.4,15.55,8.77
2,Punta Arenas,100,CL,1584987803,77,-53.15,-70.92,62.01,20.8
3,Senftenberg,0,DE,1584987835,40,51.52,14.02,37.4,6.93
4,Rocha,0,UY,1584987835,38,-34.48,-54.33,83.05,9.15
5,Chokurdakh,26,RU,1584987835,99,70.63,147.92,-14.87,6.67
6,Salalah,34,OM,1584987835,39,17.02,54.09,82.4,12.75
7,Jamestown,90,US,1584987723,75,42.1,-79.24,42.8,9.17
8,Khatanga,75,RU,1584987836,99,71.97,102.5,-22.61,9.8
9,Berdigestyakh,100,RU,1584987836,93,62.1,126.7,33.01,11.16
10,Kaitangata,84,NZ,1584987836,82,-46.28,169.85,41.0,1.99
11,Mataura,100,NZ,1584987836,87,-46.19,168.86,46.99,11.99
12,Codrington,100,AU,1584987836,65,-38.27,141.97,57.67,10.56
13,Albany,90,US,1584987662,80,42.6,-73.97,35.6,6.93
14,Hermanus,100,ZA,1584987836,80,-34.42,19.23,68.0,1.01
15,Port Elizabeth,20,ZA,1584987836,93,-33.92,25.57,66.2,11.41
16,Innisfail,81,AU,1584987836,91,-17.53,146.03,74.05,7.92
17,Atuona,66,PF,1584987836,79,-9.8,-139.03,81.97,12.28
18,Talnakh,90,RU,1584987836,84,69.49,88.4,-0.4,33.55
19,Sumkino,27,RU,1584987836,91,58.11,68.32,15.37,3.94
20,Hobart,65,AU,1584987618,92,-42.88,147.33,43.0,5.99
21,Korem,55,ET,1584987837,93,12.51,39.52,60.37,4.59
22,Emet,100,TR,1584987837,92,39.34,29.26,45.25,3.98
23,Busselton,54,AU,1584987837,39,-33.65,115.33,66.99,11.83
24,Kapaa,90,US,1584987766,83,22.08,-159.32,71.6,18.34
25,Longyearbyen,40,SJ,1584987837,85,78.22,15.64,14.0,10.29
26,Mahébourg,75,MU,1584987837,94,-20.41,57.7,79.0,6.93
27,Burnie,0,AU,1584987837,85,-41.07,145.92,46.99,7.0
28,Butaritari,19,KI,1584987837,76,3.07,172.79,83.77,16.78
29,Kavieng,100,PG,1584987597,71,-2.57,150.8,82.51,2.13
30,Vaini,20,TO,1584987606,94,-21.2,-175.2,75.2,3.36
31,George Town,20,MY,1584987646,83,5.41,100.34,84.2,2.04
32,Ushuaia,75,AR,1584987837,59,-54.8,-68.3,62.6,3.15
33,Puerto Ayora,40,EC,1584987837,74,-0.74,-90.35,82.4,12.75
34,Port Alfred,66,ZA,1584987837,92,-33.59,26.89,68.0,9.69
35,Imeni Poliny Osipenko,1,RU,1584987837,81,52.42,136.49,14.11,1.23
36,Ribeira Grande,52,PT,1584987563,77,38.52,-28.7,54.25,11.27
37,Te Anau,97,NZ,1584987838,93,-45.42,167.72,38.05,4.07
38,Bluff,85,NZ,1584987838,87,-46.6,168.33,46.99,11.99
39,Yellowknife,40,CA,1584987838,59,62.46,-114.35,3.2,25.28
40,Qaanaaq,100,GL,1584987838,68,77.48,-69.36,-0.47,3.22
41,Nikolskoye,8,RU,1584987838,50,59.7,30.79,30.2,2.24
42,Barra do Garças,40,BR,1584987735,59,-15.89,-52.26,89.6,4.7
43,Pucallpa,85,PE,1584987838,54,-8.38,-74.55,90.79,3.62
44,Tasiilaq,49,GL,1584987838,86,65.61,-37.64,28.4,3.67
45,Meulaboh,26,ID,1584987626,70,4.14,96.13,84.31,3.69
46,Marand,40,IR,1584987838,85,38.43,45.77,46.4,4.7
47,Hofn,90,IS,1584987838,69,64.25,-15.21,39.2,26.4
48,Lüderitz,0,NA,1584987838,68,-26.65,15.16,69.8,21.92
49,Belyy Yar,100,RU,1584987838,62,53.6,91.39,23.0,11.18
50,Houma,40,US,1584987815,65,29.6,-90.72,86.0,12.75
51,East London,49,ZA,1584987838,94,-33.02,27.91,69.8,6.93
52,Haines Junction,34,CA,1584987838,93,60.75,-137.51,4.75,4.23
53,Gizo Government Station,100,SB,1584987838,88,-8.1,156.84,75.67,3.18
54,Thompson,75,CA,1584987839,57,55.74,-97.86,23.0,9.17
55,Faanui,53,PF,1584987839,65,-16.48,-151.75,83.05,1.16
56,San Patricio,20,MX,1584987839,74,19.22,-104.7,84.2,11.41
57,Barrow,90,US,1584987839,84,71.29,-156.79,3.2,8.05
58,Vila Franca do Campo,75,PT,1584987839,62,37.72,-25.43,59.0,12.75
59,Dikson,100,RU,1584987839,96,73.51,80.55,26.53,17.92
60,Port Hardy,90,CA,1584987768,93,50.7,-127.42,39.2,1.83
61,Nanortalik,4,GL,1584987839,56,60.14,-45.24,27.07,38.32
62,Taoudenni,0,ML,1584987839,8,22.68,-3.98,83.77,12.75
63,Portobelo,40,PA,1584987839,41,9.55,-79.65,95.0,10.29
64,Torbay,5,CA,1584987839,42,47.67,-52.73,35.01,24.16
65,Cape Town,82,ZA,1584987766,72,-33.93,18.42,68.0,14.99
66,Mount Gambier,100,AU,1584987839,87,-37.83,140.77,46.4,3.2
67,Rikitea,97,PF,1584987840,75,-23.12,-134.97,77.83,2.35
68,Vila Velha,90,BR,1584987840,73,-20.33,-40.29,80.01,9.17
69,Svetlaya,58,RU,1584987840,63,46.54,138.33,28.33,7.11
70,La Vergne,90,US,1584987627,87,36.02,-86.58,57.99,9.17
71,Rongcheng,57,CN,1584987840,78,30.63,117.85,53.35,2.19
72,Airai,68,TL,1584987840,78,-8.93,125.41,63.97,3.67
73,Saint-Philippe,40,RE,1584987840,74,-21.36,55.77,80.6,24.16
